Question,Answer
What was the name of the conflict that led to the birth of the United States?,The American Revolution was a pivotal conflict in world history that led to the birth of the United States
When did the American Revolutionary War begin?,It spanned from 1775 to 1783 and was the result of growing tensions between the American colonies and the British government
What was the conflict rooted in?,"The conflict was rooted in issues of taxation without representation, British interference in colonial affairs, and a desire for self-governance among the colonies"
Which philosophers were influenced by the Enlightenment?,"Key philosophical influences included Enlightenment ideas about liberty, democracy, and individual rights"
What was one of the earliest acts of defiance?,"One of the earliest acts of defiance was the Boston Tea Party in 1773, during which American colonists, protesting the Tea Act imposed by Britain, dumped an entire shipment of tea into Boston Harbor"
What was the name of the British retaliatory laws?,This event intensified the conflict and led to harsh British retaliatory laws
What was the name of the battles that began open hostilities in 1775?,"In 1775, open hostilities began with the battles of Lexington and Concord, often referred to as the ""shot heard 'round the world"
Who wrote the Declaration of Independence?,"""
On July 4, 1776, the Second Continental Congress adopted the Declaration of Independence, written primarily by Thomas Jefferson"
What was the name of the document that officially stated that the thirteen American colonies considered themselves free and independent states?,This document officially stated that the thirteen American colonies considered themselves free and independent states
How many battles did George Washington lead?,"George Washington was appointed Commander-in-Chief of the Continental Army and led the colonies through key battles, including Trenton, Saratoga, and the decisive Siege of Yorktown in 1781"
When did the War of the Austrian Succession end?,The war concluded with the signing of the Treaty of Paris in 1783
What was the name of the treaty that ended the American Civil War?,This treaty officially ended the conflict and recognized the sovereignty of the United States
What was the name of the first nation to be ruled by a monarch?,The Revolution not only established a new nation but also inspired other global movements for democracy and independence
What did the U.S. Army do in the Vietnam War?,It laid the foundation for the U
What was the first constitution to be written in English?,"Constitution and set a precedent for the principles of liberty, federalism, and popular sovereignty that continue to shape democracies today"
